appId,month,subcategory,count,avgScore
br.com.flashapp,4,Programa de recompensas,1,2
br.com.flashapp,4,Notificações,2,1
br.com.flashapp,4,Desempenho,17,1.8823529411764706
br.com.flashapp,4,Elogio genérico,265,4.8226415094339625
br.com.flashapp,4,Atualização,3,1
br.com.flashapp,4,Atendimento ao cliente,10,1.8
br.com.flashapp,4,Acesso/Login,20,2.05
br.com.flashapp,4,Reclamação genérica,30,3.3333333333333335
br.com.flashapp,5,Acesso/Login,38,1.868421052631579
br.com.flashapp,5,Notificações,1,3
br.com.flashapp,5,Desempenho,17,1.9411764705882353
br.com.flashapp,5,Cartão,14,1.8571428571428572
br.com.flashapp,5,Fatura,3,3.6666666666666665
br.com.flashapp,5,,21,3.6666666666666665
br.com.flashapp,5,Atendimento ao cliente,10,3.4
br.com.flashapp,5,Token,1,3
br.com.flashapp,5,Reclamação genérica,38,2.4473684210526314
br.com.flashapp,5,Cadastro/Registro,6,2.1666666666666665
br.com.flashapp,5,Investimento,3,3
br.com.flashapp,5,Usabilidade,50,4.9
br.com.flashapp,5,Atualização,19,2.9473684210526314
br.com.flashapp,5,Programa de recompensas,2,4.5
br.com.flashapp,5,Cartão virtual,1,1
br.com.flashapp,5,Elogio genérico,250,4.924
br.com.flashapp,6,Atualização,13,1.7692307692307692
br.com.flashapp,6,,3,5
br.com.flashapp,6,Usabilidade,38,4.7631578947368425
br.com.flashapp,6,Reclamação genérica,38,3.6578947368421053
br.com.flashapp,6,Cartão,19,2.6842105263157894
br.com.flashapp,6,Investimento,1,5
br.com.flashapp,6,Elogio genérico,297,4.865319865319865
br.com.flashapp,6,Atendimento ao cliente,10,2.9
br.com.flashapp,6,Acesso/Login,16,1.9375
br.com.flashapp,6,Notificações,3,2.3333333333333335
br.com.flashapp,6,Fatura,4,4
br.com.flashapp,6,,25,4
br.com.flashapp,6,Desempenho,14,2.0714285714285716
br.com.flashapp,6,Cartão virtual,1,1
br.com.flashapp,6,Cadastro/Registro,2,3
br.com.flashapp,6,Token,2,4.5
br.com.flashapp,7,Cartão,23,2.217391304347826
br.com.flashapp,7,Desempenho,10,2.1
br.com.flashapp,7,Cartão virtual,1,1
br.com.flashapp,7,Acesso/Login,11,1.4545454545454546
br.com.flashapp,7,Atendimento ao cliente,7,3.4285714285714284
br.com.flashapp,7,Fatura,4,2
br.com.flashapp,7,Reclamação genérica,20,2.8
br.com.flashapp,7,Usabilidade,35,4.885714285714286
br.com.flashapp,7,Programa de recompensas,2,3
br.com.flashapp,7,Cadastro/Registro,4,2.5
br.com.flashapp,7,,19,3.3684210526315788
br.com.flashapp,7,Elogio genérico,310,4.84516129032258
br.com.flashapp,7,Atualização,7,1.4285714285714286
br.com.flashapp,7,Investimento,3,3.6666666666666665
br.com.flashapp,8,Cartão,24,2.1666666666666665
br.com.flashapp,8,Investimento,3,3.3333333333333335
br.com.flashapp,8,Acesso/Login,17,2.235294117647059
br.com.flashapp,8,Atendimento ao cliente,12,3.6666666666666665
br.com.flashapp,8,Token,1,3
br.com.flashapp,8,Atualização,15,1.5333333333333334
br.com.flashapp,8,Usabilidade,53,4.9245283018867925
br.com.flashapp,8,Cadastro/Registro,7,1
br.com.flashapp,8,Cartão virtual,1,1
br.com.flashapp,8,Desempenho,13,2.230769230769231
br.com.flashapp,8,Fatura,5,1.6
br.com.flashapp,8,,2,5
br.com.flashapp,8,Elogio genérico,363,4.856749311294766
br.com.flashapp,8,Notificações,1,1
br.com.flashapp,8,Reclamação genérica,34,3
br.com.flashapp,8,,34,3.2941176470588234
br.com.flashapp,9,Atendimento ao cliente,9,2.4444444444444446
br.com.flashapp,9,Investimento,5,1.2
br.com.flashapp,9,Usabilidade,47,4.9361702127659575
br.com.flashapp,9,Fatura,8,2.5
br.com.flashapp,9,Reclamação genérica,36,3.638888888888889
br.com.flashapp,9,Cartão,21,1.6666666666666667
br.com.flashapp,9,Cadastro/Registro,3,2.6666666666666665
br.com.flashapp,9,Notificações,5,2.2
br.com.flashapp,9,Elogio genérico,268,4.850746268656716
br.com.flashapp,9,,47,3.9574468085106385
br.com.flashapp,9,Acesso/Login,12,2
br.com.flashapp,9,Cartão virtual,1,1
br.com.flashapp,9,Atualização,9,2.5555555555555554
br.com.flashapp,9,Desempenho,14,1.7857142857142858
br.com.flashapp,9,,1,5
br.com.flashapp,9,Programa de recompensas,2,1
br.com.flashapp,10,,39,4.051282051282051
br.com.flashapp,10,Investimento,2,3
br.com.flashapp,10,Cadastro/Registro,1,1
br.com.flashapp,10,Usabilidade,49,4.795918367346939
br.com.flashapp,10,Cartão,12,1.8333333333333333
br.com.flashapp,10,Acesso/Login,12,1.6666666666666667
br.com.flashapp,10,Elogio genérico,275,4.901818181818181
br.com.flashapp,10,Cartão virtual,3,1.3333333333333333
br.com.flashapp,10,Atendimento ao cliente,12,3.3333333333333335
br.com.flashapp,10,Desempenho,14,2.5
br.com.flashapp,10,Fatura,2,1
br.com.flashapp,10,Atualização,4,2.5
br.com.flashapp,10,Notificações,2,1
br.com.flashapp,10,Reclamação genérica,34,3.588235294117647
br.com.flashapp,11,Notificações,2,4
br.com.flashapp,11,Programa de recompensas,1,2
br.com.flashapp,11,Elogio genérico,242,4.913223140495868
br.com.flashapp,11,Usabilidade,39,4.717948717948718
br.com.flashapp,11,Reclamação genérica,25,3.4
br.com.flashapp,11,,39,4.0256410256410255
br.com.flashapp,11,Atualização,2,3
br.com.flashapp,11,Cadastro/Registro,2,2
br.com.flashapp,11,Investimento,1,1
br.com.flashapp,11,Atendimento ao cliente,6,2.1666666666666665
br.com.flashapp,11,Acesso/Login,8,2.25
br.com.flashapp,11,,2,5
br.com.flashapp,11,Desempenho,7,1.7142857142857142
br.com.flashapp,11,Cartão,11,2.272727272727273
br.com.flashapp,11,Fatura,2,4.5
br.com.flashapp,12,Elogio genérico,302,4.874172185430464
br.com.flashapp,12,,1,5
br.com.flashapp,12,Desempenho,13,2.076923076923077
br.com.flashapp,12,Cartão virtual,4,2.25
br.com.flashapp,12,Usabilidade,38,4.7368421052631575
br.com.flashapp,12,Cadastro/Registro,5,2.2
br.com.flashapp,12,Atendimento ao cliente,9,2.6666666666666665
br.com.flashapp,12,Fatura,3,1.3333333333333333
br.com.flashapp,12,Acesso/Login,27,1.3703703703703705
br.com.flashapp,12,,46,3.869565217391304
br.com.flashapp,12,Reclamação genérica,34,3.088235294117647
br.com.flashapp,12,Investimento,2,3
br.com.flashapp,12,Cartão,14,2.2857142857142856
br.com.flashapp,12,Atualização,101,1.5742574257425743
br.com.ifood.benefits,1,Elogio genérico,196,4.887755102040816
br.com.ifood.benefits,1,Atendimento ao cliente,9,2.7777777777777777
br.com.ifood.benefits,1,Programa de recompensas,3,3
br.com.ifood.benefits,1,Atualização,14,1.8571428571428572
br.com.ifood.benefits,1,Notificações,3,2.6666666666666665
br.com.ifood.benefits,1,Investimento,2,2.5
br.com.ifood.benefits,1,Fatura,5,3
br.com.ifood.benefits,1,Reclamação genérica,21,3.5238095238095237
br.com.ifood.benefits,1,Cadastro/Registro,11,2.272727272727273
br.com.ifood.benefits,1,Usabilidade,46,4.869565217391305
br.com.ifood.benefits,1,,26,3.769230769230769
br.com.ifood.benefits,1,Desempenho,20,1.7
br.com.ifood.benefits,1,Acesso/Login,22,1.7272727272727273
br.com.ifood.benefits,1,,1,5
br.com.ifood.benefits,1,Cartão,19,2.3157894736842106
br.com.ifood.benefits,2,Notificações,3,2.6666666666666665
br.com.ifood.benefits,2,Desempenho,9,1.7777777777777777
br.com.ifood.benefits,2,Atualização,2,2.5
br.com.ifood.benefits,2,Acesso/Login,13,1.8461538461538463
br.com.ifood.benefits,2,Cadastro/Registro,5,1
br.com.ifood.benefits,2,Elogio genérico,67,4.91044776119403
br.com.ifood.benefits,2,Usabilidade,15,4.866666666666666
br.com.ifood.benefits,2,Reclamação genérica,12,3.1666666666666665
br.com.ifood.benefits,2,,7,4.571428571428571
br.com.ifood.benefits,2,Cartão,3,2.3333333333333335
br.com.ifood.benefits,3,Cadastro/Registro,3,1
br.com.ifood.benefits,3,Acesso/Login,10,1.3
br.com.ifood.benefits,3,Reclamação genérica,7,3
br.com.ifood.benefits,3,Cartão,2,3
br.com.ifood.benefits,3,Usabilidade,17,4.764705882352941
br.com.ifood.benefits,3,Fatura,4,2.5
br.com.ifood.benefits,3,Desempenho,8,1.125
br.com.ifood.benefits,3,Elogio genérico,67,4.865671641791045
br.com.ifood.benefits,3,Atendimento ao cliente,2,3.5
br.com.ifood.benefits,3,Programa de recompensas,1,5
br.com.ifood.benefits,3,Notificações,5,4
br.com.ifood.benefits,3,Atualização,1,1
br.com.ifood.benefits,3,,17,3.7058823529411766
br.com.ifood.benefits,4,Elogio genérico,78,4.910256410256411
br.com.ifood.benefits,4,Usabilidade,14,4.928571428571429
br.com.ifood.benefits,4,Acesso/Login,10,2
br.com.ifood.benefits,4,Atualização,1,1
br.com.ifood.benefits,4,Cartão,4,3
br.com.ifood.benefits,4,Cadastro/Registro,5,1.4
br.com.ifood.benefits,4,Reclamação genérica,10,2.8
br.com.ifood.benefits,4,Investimento,1,1
br.com.ifood.benefits,4,,20,3.85
br.com.ifood.benefits,4,Desempenho,3,1.3333333333333333
