appId,month,count(id),avg(score),subcategory
br.com.flashapp,9,3,2.3333333333333335,Rewards program
br.com.flashapp,9,12,1.3333333333333333,Performance
br.com.flashapp,9,5,2,Registration
br.com.flashapp,9,48,4.916666666666667,Usability
br.com.flashapp,9,1,1,Virtual card
br.com.flashapp,9,5,2.2,Notifications
br.com.flashapp,9,13,1.9230769230769231,Login
br.com.flashapp,10,2,1,Registration
br.com.flashapp,10,2,3,Investiment
br.com.flashapp,10,2,1,Invoice
br.com.flashapp,10,11,1.9090909090909092,Card
br.com.flashapp,10,13,3.1538461538461537,Customer service
br.com.flashapp,10,5,2.4,Update
br.com.flashapp,10,28,3.3214285714285716,Generic complaint
br.com.flashapp,10,51,4.705882352941177,Usability
br.com.flashapp,10,12,2.4166666666666665,Performance
br.com.flashapp,10,4,1.5,Virtual card
br.com.flashapp,10,291,4.890034364261169,Generic compliment
br.com.flashapp,10,12,1.6666666666666667,Login
br.com.flashapp,10,2,1,Notifications
br.com.ifood.benefits,1,10,1.6,Update
br.com.ifood.benefits,1,4,3,Customer service
br.com.ifood.benefits,1,19,4.894736842105263,Usability
br.com.ifood.benefits,1,10,1.9,Performance
br.com.ifood.benefits,1,10,1.2,Login
br.com.ifood.benefits,1,1,5,Invoice
br.com.ifood.benefits,1,9,2.2222222222222223,Card
br.com.ifood.benefits,1,6,2,Registration
br.com.ifood.benefits,1,97,4.88659793814433,Generic compliment
br.com.ifood.benefits,1,1,5,Rewards program
br.com.ifood.benefits,1,2,1.5,Notifications
br.com.ifood.benefits,1,13,3.6153846153846154,Generic complaint
br.com.ifood.benefits,2,12,2.8333333333333335,Generic complaint
br.com.ifood.benefits,2,15,4.866666666666666,Usability
br.com.ifood.benefits,2,2,2.5,Update
br.com.ifood.benefits,2,9,1.7777777777777777,Performance
br.com.ifood.benefits,2,3,2.6666666666666665,Notifications
br.com.ifood.benefits,2,13,1.8461538461538463,Login
br.com.ifood.benefits,2,5,1,Registration
br.com.ifood.benefits,2,69,4.971014492753623,Generic compliment
br.com.ifood.benefits,2,3,2.3333333333333335,Card
br.com.ifood.benefits,3,73,4.917808219178082,Generic compliment
br.com.ifood.benefits,3,4,2.5,Invoice
br.com.ifood.benefits,3,1,1,Update
br.com.ifood.benefits,3,17,4.764705882352941,Usability
br.com.ifood.benefits,3,1,5,Rewards program
br.com.ifood.benefits,3,8,2.875,Generic complaint
br.com.ifood.benefits,3,4,1.25,Registration
br.com.ifood.benefits,3,9,1.1111111111111112,Performance
br.com.ifood.benefits,3,2,3.5,Customer service
br.com.ifood.benefits,3,10,1.3,Login
br.com.ifood.benefits,3,4,3.75,Notifications
br.com.ifood.benefits,3,4,2,Card
br.com.ifood.benefits,4,3,2.3333333333333335,Notifications
br.com.ifood.benefits,4,1,1,Update
br.com.ifood.benefits,4,6,3,Card
br.com.ifood.benefits,4,3,1.3333333333333333,Performance
br.com.ifood.benefits,4,9,1.6666666666666667,Login
br.com.ifood.benefits,4,87,4.919540229885057,Generic compliment
br.com.ifood.benefits,4,6,1.3333333333333333,Registration
br.com.ifood.benefits,4,1,3,Invoice
br.com.ifood.benefits,4,7,1.7142857142857142,Generic complaint
br.com.ifood.benefits,4,15,4.933333333333334,Usability
br.com.ifood.benefits,4,1,1,Investiment
br.com.ifood.benefits,4,2,1,Customer service
br.com.ifood.benefits,5,4,2,Invoice
br.com.ifood.benefits,5,83,4.903614457831325,Generic compliment
br.com.ifood.benefits,5,29,4.931034482758621,Usability
br.com.ifood.benefits,5,5,1.4,Performance
br.com.ifood.benefits,5,7,4,Generic complaint
br.com.ifood.benefits,5,3,3.3333333333333335,Investiment
br.com.ifood.benefits,5,2,5,Customer service
br.com.ifood.benefits,5,1,1,Update
br.com.ifood.benefits,5,8,1.75,Card
br.com.ifood.benefits,5,13,2.076923076923077,Login
br.com.ifood.benefits,5,3,2.3333333333333335,Notifications
br.com.ifood.benefits,5,1,1,Registration
br.com.ifood.benefits,6,26,4.538461538461538,Usability
br.com.ifood.benefits,6,2,1,Notifications
br.com.ifood.benefits,6,5,1.8,Registration
br.com.ifood.benefits,6,6,3.1666666666666665,Generic complaint
br.com.ifood.benefits,6,3,1,Update
br.com.ifood.benefits,6,4,1,Performance
br.com.ifood.benefits,6,2,3,Rewards program
br.com.ifood.benefits,6,3,2,Invoice
br.com.ifood.benefits,6,7,1.4285714285714286,Login
br.com.ifood.benefits,6,6,3,Card
br.com.ifood.benefits,6,1,1,Virtual card
br.com.ifood.benefits,6,107,4.934579439252336,Generic compliment
br.com.ifood.benefits,7,2,1,Registration
br.com.ifood.benefits,7,10,2.2,Card
br.com.ifood.benefits,7,1,3,Update
br.com.ifood.benefits,7,1,4,Invoice
br.com.ifood.benefits,7,3,5,Performance
br.com.ifood.benefits,7,12,3.5833333333333335,Generic complaint
br.com.ifood.benefits,7,2,1.5,Login
br.com.ifood.benefits,7,1,1,Customer service
br.com.ifood.benefits,7,2,4,Investiment
br.com.ifood.benefits,7,34,4.970588235294118,Usability
br.com.ifood.benefits,7,93,4.935483870967742,Generic compliment
br.com.ifood.benefits,7,1,1,Rewards program
br.com.ifood.benefits,8,4,2,Invoice
br.com.ifood.benefits,8,6,1,Registration
br.com.ifood.benefits,8,7,2.857142857142857,Performance
br.com.ifood.benefits,8,6,2.6666666666666665,Customer service
br.com.ifood.benefits,8,18,2.8333333333333335,Generic complaint
br.com.ifood.benefits,8,117,4.897435897435898,Generic compliment
br.com.ifood.benefits,8,2,1,Rewards program
br.com.ifood.benefits,8,29,4.724137931034483,Usability
br.com.ifood.benefits,8,6,1.8333333333333333,Notifications
br.com.ifood.benefits,8,13,1.5384615384615385,Login
br.com.ifood.benefits,8,3,1.3333333333333333,Investiment
br.com.ifood.benefits,8,15,1.2666666666666666,Card
br.com.ifood.benefits,8,6,2.1666666666666665,Update
br.com.ifood.benefits,9,9,1.6666666666666667,Performance
br.com.ifood.benefits,9,14,1.1428571428571428,Login
br.com.ifood.benefits,9,3,1.3333333333333333,Notifications
br.com.ifood.benefits,9,12,1.75,Card
br.com.ifood.benefits,9,1,1,Rewards program
br.com.ifood.benefits,9,18,3,Generic complaint
br.com.ifood.benefits,9,1,1,Virtual card
br.com.ifood.benefits,9,22,5,Usability
br.com.ifood.benefits,9,8,1.75,Registration
br.com.ifood.benefits,9,2,2,Update
br.com.ifood.benefits,9,74,4.905405405405405,Generic compliment
br.com.ifood.benefits,9,5,3,Invoice
br.com.ifood.benefits,10,74,4.945945945945946,Generic compliment
br.com.ifood.benefits,10,2,2,Update
br.com.ifood.benefits,10,1,2,Invoice
br.com.ifood.benefits,10,2,1,Notifications
br.com.ifood.benefits,10,19,4.894736842105263,Usability
br.com.ifood.benefits,10,2,3,Rewards program
br.com.ifood.benefits,10,12,1.8333333333333333,Login
br.com.ifood.benefits,10,2,2.5,Investiment
br.com.ifood.benefits,10,1,2,Virtual card
br.com.ifood.benefits,10,10,2,Card
br.com.ifood.benefits,10,16,2.75,Generic complaint
br.com.ifood.benefits,10,6,2,Performance
br.com.ifood.benefits,10,2,1,Customer service
br.com.ifood.benefits,10,6,1,Registration
br.com.mobile.ticket,1,364,1.554945054945055,Generic complaint
br.com.mobile.ticket,1,443,4.772009029345372,Generic compliment
br.com.mobile.ticket,1,462,1.3852813852813852,Update
br.com.mobile.ticket,1,5,1,Rewards program
br.com.mobile.ticket,1,536,1.251865671641791,Performance
br.com.mobile.ticket,1,21,1.7142857142857142,Invoice
br.com.mobile.ticket,1,48,1.9583333333333333,Customer service
br.com.mobile.ticket,1,7,2,Notifications
br.com.mobile.ticket,1,4,2,Token
br.com.mobile.ticket,1,31,1.4193548387096775,Registration
br.com.mobile.ticket,1,121,1.5206611570247934,Card
br.com.mobile.ticket,1,1674,1.3476702508960574,Login
br.com.mobile.ticket,1,8,1.625,Investiment
br.com.mobile.ticket,1,43,3.558139534883721,Usability
br.com.mobile.ticket,2,3,2.3333333333333335,Notifications
br.com.mobile.ticket,2,7,1,Registration
br.com.mobile.ticket,2,12,1,Customer service
br.com.mobile.ticket,2,42,1.6428571428571428,Card
br.com.mobile.ticket,2,10,1.5,Invoice
br.com.mobile.ticket,2,2,1,Rewards program
br.com.mobile.ticket,2,80,4.6625,Generic compliment
br.com.mobile.ticket,2,78,1.6666666666666667,Generic complaint
br.com.mobile.ticket,2,1,3,Virtual card
br.com.mobile.ticket,2,173,2.132947976878613,Update
br.com.mobile.ticket,2,8,3.875,Usability
br.com.mobile.ticket,2,144,1.6736111111111112,Login
br.com.mobile.ticket,2,55,2.109090909090909,Performance
br.com.mobile.ticket,2,4,1.75,Investiment
br.com.mobile.ticket,3,104,1.4711538461538463,Login
br.com.mobile.ticket,3,23,1.0869565217391304,Performance
br.com.mobile.ticket,3,1,1,Rewards program
br.com.mobile.ticket,3,13,1.6153846153846154,Customer service
br.com.mobile.ticket,3,40,1.525,Card
br.com.mobile.ticket,3,52,1.4615384615384615,Generic complaint
br.com.mobile.ticket,3,7,1.1428571428571428,Notifications
br.com.mobile.ticket,3,13,2.076923076923077,Invoice
br.com.mobile.ticket,3,6,4.166666666666667,Usability
br.com.mobile.ticket,3,14,1.4285714285714286,Registration
br.com.mobile.ticket,3,78,1.4871794871794872,Update
br.com.mobile.ticket,3,22,4.7727272727272725,Generic compliment
br.com.mobile.ticket,4,14,1.9285714285714286,Customer service
br.com.mobile.ticket,4,28,1.1785714285714286,Card
br.com.mobile.ticket,4,6,3.1666666666666665,Usability
br.com.mobile.ticket,4,56,1.8571428571428572,Generic complaint
br.com.mobile.ticket,4,32,4.5625,Generic compliment
br.com.mobile.ticket,4,5,2,Investiment
br.com.mobile.ticket,4,2,1.5,Rewards program
br.com.mobile.ticket,4,29,1.3448275862068966,Performance
br.com.mobile.ticket,4,20,1.5,Invoice
br.com.mobile.ticket,4,86,1.5465116279069768,Login
br.com.mobile.ticket,4,11,1.7272727272727273,Registration
br.com.mobile.ticket,4,7,1.7142857142857142,Notifications
br.com.mobile.ticket,4,1,1,Token
br.com.mobile.ticket,4,73,1.452054794520548,Update
br.com.mobile.ticket,5,4,4.25,Usability
